i1,j1,m,a,b,p0,p1,perr1,perr2
184,184,trf,1.214831849221972,-0.5164181907999918,0.010101010101010102,0.8484848484848485,0.5565931307839715,0.10852830546160455
185,185,trf,-7.544001847365631,0.8688252026727262,0.010101010101010102,0.8585858585858587,3382.2845330174837,848.1238656949107
186,186,trf,-7.507998071165199,0.8628265874066412,0.010101010101010102,0.8686868686868687,3249.434482283286,826.786094307755
187,187,trf,-7.551213102852874,0.8690019852910016,0.010101010101010102,0.8787878787878789,3407.1728157672474,854.0008953116803
188,188,trf,-7.5414020659297565,0.8625706584122602,0.010101010101010102,0.888888888888889,3359.2248357528906,855.2499668115253
189,189,trf,-7.521921043854484,0.8624189332989494,0.010101010101010102,0.8989898989898991,3294.077206901553,838.9745728319349
190,190,trf,-7.504325667473393,0.8621396801929408,0.010101010101010102,0.9090909090909092,3236.0103108809776,824.7378477648211
191,191,trf,-7.506874284369773,0.8697634378071717,0.010101010101010102,0.9191919191919192,3261.078551705972,815.8689263938904
192,192,trf,-7.517660108059935,0.8618237373816601,0.010101010101010102,0.9292929292929294,3278.723819852241,836.274895817103
193,193,trf,-7.504556081403091,0.8616868429593929,0.010101010101010102,0.9393939393939394,3235.7631111456585,825.5865829226876
194,194,trf,2.4998504116481866,-1.3819419320363435,0.010101010101010102,0.9494949494949496,0.14417051376998483,0.03152486100389456
195,195,trf,2.4998512046076806,-1.381943833138677,0.010101010101010102,0.9595959595959597,0.14417049381650274,0.03152478523932838
196,196,trf,2.499831487372472,-1.3818968268132805,0.010101010101010102,0.9696969696969697,0.14417099828625995,0.03152666290019697
197,197,trf,2.4998282723776444,-1.3818891989005635,0.010101010101010102,0.9797979797979799,0.14417108284708846,0.03152696821597665
198,198,trf,2.499830535323822,-1.3818945647381784,0.010101010101010102,0.98989898989899,0.1441710231992899,0.0315267533952407
199,199,trf,2.765308630764083,-2.651671486509073,0.010101010101010102,1.0,0.10404082273135189,0.024155027827769893
200,200,trf,1.2148833516078905,-0.5165087978548922,0.020202020202020204,0.0,0.5565769245298914,0.10851576785717917
201,201,trf,1.2148403842984776,-0.5164331772904599,0.020202020202020204,0.010101010101010102,0.5565904406181742,0.10852622777220296
202,202,trf,1.2148916949767559,-0.5165235843441005,0.020202020202020204,0.020202020202020204,0.5565743106862528,0.10851373157966294
203,203,trf,1.2148690109543725,-0.516483519462379,0.020202020202020204,0.030303030303030304,0.5565814306352571,0.1085192594232278
204,204,trf,1.214829673336348,-0.5164143926411262,0.020202020202020204,0.04040404040404041,0.5565938185934188,0.10852883373348297
205,205,trf,1.2148850778694986,-0.5165119516667328,0.020202020202020204,0.05050505050505051,0.5565763974754908,0.108515339321136
206,206,trf,1.214842919907818,-0.5164375824986424,0.020202020202020204,0.06060606060606061,0.5565896381728228,0.10852561424824911
207,207,trf,1.214879469141572,-0.5165020329490821,0.020202020202020204,0.07070707070707072,0.556578154827327,0.10851670692540281
208,208,trf,1.214820609908644,-0.5163985259297766,0.020202020202020204,0.08080808080808081,0.5565966764216272,0.10853103771143038
209,209,trf,1.2148569834130023,-0.5164623557353409,0.020202020202020204,0.09090909090909091,0.5565852182498339,0.10852218691924027
210,210,trf,1.214825073497784,-0.5164063519704922,0.020202020202020204,0.10101010101010102,0.5565952726770228,0.10852995116851119
211,211,trf,1.2148369554845888,-0.5164271505815257,0.020202020202020204,0.11111111111111112,0.5565915225657769,0.10852706286303505
212,212,trf,1.214887649620138,-0.5165164176400279,0.020202020202020204,0.12121212121212122,0.556575579513242,0.10851471843380164
213,213,trf,1.2148394687661572,-0.5164316616628853,0.020202020202020204,0.13131313131313133,0.5565907425176255,0.10852644350678069
214,214,trf,1.2148419335158096,-0.5164358299071625,0.020202020202020204,0.14141414141414144,0.5565899482157503,0.10852585593798243
215,215,trf,1.214820112227845,-0.516397647874673,0.020202020202020204,0.15151515151515152,0.5565968356472123,0.10853115926795845
216,216,trf,1.2148302889965146,-0.5164154462715905,0.020202020202020204,0.16161616161616163,0.5565936224725438,0.10852868582568446
217,217,trf,1.2148362246624,-0.5164257903137356,0.020202020202020204,0.17171717171717174,0.556591738351599,0.10852724676970783
218,218,trf,1.2148735119342642,-0.5164914149369373,0.020202020202020204,0.18181818181818182,0.5565800158116829,0.10851816618164434
219,219,trf,1.2148349908830895,-0.5164237312995981,0.020202020202020204,0.19191919191919193,0.5565921428860161,0.10852753868049457
220,220,trf,1.2148844437284512,-0.5165108643898709,0.020202020202020204,0.20202020202020204,0.556576598907467,0.10851549124442665
221,221,trf,1.2148310661231718,-0.5164169092549341,0.020202020202020204,0.21212121212121213,0.5565933898857828,0.10852848905244891
222,222,trf,1.2148410028743633,-0.5164342388952449,0.020202020202020204,0.22222222222222224,0.5565902467669847,0.1085260791467129
223,223,trf,2.4998497100238124,-1.3819402582756783,0.020202020202020204,0.23232323232323235,0.14417053141507954,0.031524927842791026
224,224,trf,1.2148934621730874,-0.5165268004279734,0.020202020202020204,0.24242424242424243,0.5565737736891291,0.10851329389075674
225,225,trf,1.2148302812031817,-0.5164154577129845,0.020202020202020204,0.25252525252525254,0.5565936292905123,0.10852868573953066
226,226,trf,1.214880739295356,-0.5165042089865256,0.020202020202020204,0.26262626262626265,0.5565777525084662,0.10851640240350754
227,227,trf,1.214839276778219,-0.5164312325181585,0.020202020202020204,0.27272727272727276,0.5565907909197385,0.10852649727904798
228,228,trf,1.2148268087634042,-0.5164093173198072,0.020202020202020204,0.2828282828282829,0.5565947117396951,0.10852953477632774
229,229,trf,1.2148738451545418,-0.51649200224111,0.020202020202020204,0.29292929292929293,0.5565799088849802,0.10851808505133696
230,230,trf,1.214842317124931,-0.5164366019523251,0.020202020202020204,0.30303030303030304,0.5565898396069432,0.1085257551574982
231,231,trf,1.2148310780188427,-0.5164167409897281,0.020202020202020204,0.31313131313131315,0.5565933593129161,0.10852850077509903
232,232,trf,2.4998268180667735,-1.3818857489492875,0.020202020202020204,0.32323232323232326,0.14417112061835577,0.03152710630210097
233,233,trf,2.4998315035476755,-1.381896862216662,0.020202020202020204,0.33333333333333337,0.14417099768108035,0.03152666145912354
234,234,trf,2.499830064033805,-1.3818934488980947,0.020202020202020204,0.3434343434343435,0.144171035528523,0.031526798098819385
235,235,trf,1.214819747566617,-0.5163970545568894,0.020202020202020204,0.3535353535353536,0.5565969539206065,0.10853124456617494
236,236,trf,1.2148743983996737,-0.5164929520165019,0.020202020202020204,0.36363636363636365,0.5565797305357421,0.10851795231257365
